district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green Party of Canada,Le Parti Vert du Canada,Clark,Matthew Ian,,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,New Democratic Party,Nouveau Parti démocratique,Colford,Patrick,,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal Party of Canada,Parti libéral du Canada,Finnigan,Pat,,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative Party of Canada,Parti conservateur du Canada,O'Neill-Gordon,Tilly,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative Party of Canada,Parti conservateur du Canada,Goguen,Robert,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,New Democratic Party,Nouveau Parti démocratique,LeBlanc,Luc,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green Party of Canada,Le Parti Vert du Canada,Melanson,Luc,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal Party of Canada,Parti libéral du Canada,Petitpas Taylor,Ginette,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,New Democratic Party,Nouveau Parti démocratique,Graham,Andrew,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal Party of Canada,Parti libéral du Canada,Ludwig,Karen,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green Party of Canada,Le Parti Vert du Canada,MacIntosh,Gayla,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Williamson,John,,
13009,Saint John--Rothesay,Saint John--Rothesay,New Democratic Party,Nouveau Parti démocratique,Griffin,AJ,,
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal Party of Canada,Parti libéral du Canada,Long,Wayne,,
13009,Saint John--Rothesay,Saint John--Rothesay,Green Party of Canada,Le Parti Vert du Canada,Murphy,Sharon,,
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative Party of Canada,Parti conservateur du Canada,Weston,Rodney,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative Party of Canada,Parti conservateur du Canada,Bragdon,Richard,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal Party of Canada,Parti libéral du Canada,Harvey,TJ,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,New Democratic Party,Nouveau Parti démocratique,Kitchen,Robert,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green Party of Canada,Le Parti Vert du Canada,Wishart,Terry,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green Party of Canada,Le Parti Vert du Canada,Benoît,Patrick,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal Party of Canada,Parti libéral du Canada,Dufour,Pierre,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Québécois,Bloc Québécois,Ferland,Luc,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros Party,Parti Rhinocéros,Gagnon,Mario,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative Party of Canada,Parti conservateur du Canada,Hébert,Steven,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,New Democratic Party,Nouveau Parti démocratique,Saganash,Romeo,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green Party of Canada,Le Parti Vert du Canada,Bégin,Aline,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative Party of Canada,Parti conservateur du Canada,Fortin,Benoit,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Rhinoceros Party,Parti Rhinocéros,Gélinas,Pascal Le Fou,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,New Democratic Party,Nouveau Parti démocratique,Moore,Christine,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc Québécois,Bloc Québécois,Moreau,Yvon,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal Party of Canada,Parti libéral du Canada,Thibault,Claude,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc Québécois,Bloc Québécois,Bourdon,Nicolas,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Rhinoceros Party,Parti Rhinocéros,Gascon-David,Catherine,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal Party of Canada,Parti libéral du Canada,Joly,Mélanie,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green Party of Canada,Le Parti Vert du Canada,Mercier,Gilles,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative Party of Canada,Parti conservateur du Canada,Moughrabi,Wiliam,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,New Democratic Party,Nouveau Parti démocratique,Mourani,Maria,,
24004,Alfred-Pellan,Alfred-Pellan,Green Party of Canada,Le Parti Vert du Canada,Briguene,Lynda,,
24004,Alfred-Pellan,Alfred-Pellan,New Democratic Party,Nouveau Parti démocratique,Doré Lefebvre,Rosane,,
24004,Alfred-Pellan,Alfred-Pellan,Liberal Party of Canada,Parti libéral du Canada,Iacono,Angelo,,
24004,Alfred-Pellan,Alfred-Pellan,Independent,Indépendant,Isopo,Renata,,
24004,Alfred-Pellan,Alfred-Pellan,Conservative Party of Canada,Parti conservateur du Canada,Purcarus,Gabriel,,
24004,Alfred-Pellan,Alfred-Pellan,Bloc Québécois,Bloc Québécois,St-Hilaire,Daniel,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc Québécois,Bloc Québécois,Beauchamp,Jonathan,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,New Democratic Party,Nouveau Parti démocratique,Crête,Chantal,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative Party of Canada,Parti conservateur du Canada,Hupé-Labelle,Maxime,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green Party of Canada,Le Parti Vert du Canada,Lamarche,Audrey,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal Party of Canada,Parti libéral du Canada,Lauzon,Stéphane,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,New Democratic Party,Nouveau Parti démocratique,Charest,Joël,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Bloc Québécois,Bloc Québécois,Fleury-Samson,Kédina,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Forces et Démocratie,Forces et Démocratie,Fortin,Jean-François,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Liberal Party of Canada,Parti libéral du Canada,Massé,Rémi,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Rhinoceros Party,Parti Rhinocéros,Normand,Éric,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Conservative Party of Canada,Parti conservateur du Canada,Savoie,André,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Green Party of Canada,Le Parti Vert du Canada,Springle,Sherri,,
24007,Beauce,Beauce,Conservative Party of Canada,Parti conservateur du Canada,Bernier,Maxime,,
24007,Beauce,Beauce,Green Party of Canada,Le Parti Vert du Canada,MacDonald,Céline Brown,,
24007,Beauce,Beauce,New Democratic Party,Nouveau Parti démocratique,Royer,Daniel,,
24007,Beauce,Beauce,Bloc Québécois,Bloc Québécois,Trudel,Stéphane,,
24007,Beauce,Beauce,Liberal Party of Canada,Parti libéral du Canada,Veilleux,Adam,,
24008,Beauport--Limoilou,Beauport--Limoilou,Libertarian Party of Canada,Parti Libertarien du Canada,Bedard,Francis,,
24008,Beauport--Limoilou,Beauport--Limoilou,Bloc Québécois,Bloc Québécois,Berberi,Doni,,
24008,Beauport--Limoilou,Beauport--Limoilou,Liberal Party of Canada,Parti libéral du Canada,Bujold,Antoine,,
24008,Beauport--Limoilou,Beauport--Limoilou,Conservative Party of Canada,Parti conservateur du Canada,Clarke,Alupa,,
24008,Beauport--Limoilou,Beauport--Limoilou,New Democratic Party,Nouveau Parti démocratique,Côté,Raymond,,
24008,Beauport--Limoilou,Beauport--Limoilou,Green Party of Canada,Le Parti Vert du Canada,Elhak,Dalila,,
24008,Beauport--Limoilou,Beauport--Limoilou,Forces et Démocratie,Forces et Démocratie,Laborit,Bladimir,,
24008,Beauport--Limoilou,Beauport--Limoilou,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Moreau,Claude,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Green Party of Canada,Le Parti Vert du Canada,Bastiani,Corina,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Liberal Party of Canada,Parti libéral du Canada,Carpentier,Claude,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Conservative Party of Canada,Parti conservateur du Canada,Laberge,Yves,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Bloc Québécois,Bloc Québécois,Plamondon,Louis,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,New Democratic Party,Nouveau Parti démocratique,Tabah,Nicolas,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Green Party of Canada,Le Parti Vert du Canada,Bélisle,André,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Conservative Party of Canada,Parti conservateur du Canada,Blaney,Steven,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,New Democratic Party,Nouveau Parti démocratique,Daigle,Jean-Luc,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Bloc Québécois,Bloc Québécois,Dubé,Antoine,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Liberal Party of Canada,Parti libéral du Canada,Turgeon,Jacques,,
24011,Beloeil--Chambly,Beloeil--Chambly,Conservative Party of Canada,Parti conservateur du Canada,Chalhoub,Claude,,
24011,Beloeil--Chambly,Beloeil--Chambly,Liberal Party of Canada,Parti libéral du Canada,Desjardins,Karine,,
24011,Beloeil--Chambly,Beloeil--Chambly,New Democratic Party,Nouveau Parti démocratique,Dubé,Matthew,,
24011,Beloeil--Chambly,Beloeil--Chambly,Bloc Québécois,Bloc Québécois,Lessard,Yves,,
24011,Beloeil--Chambly,Beloeil--Chambly,Libertarian Party of Canada,Parti Libertarien du Canada,Maher,Michael,,
24011,Beloeil--Chambly,Beloeil--Chambly,Green Party of Canada,Le Parti Vert du Canada,Yansané,Fodé Kerfalla,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,New Democratic Party,Nouveau Parti démocratique,Brosseau,Ruth Ellen,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Green Party of Canada,Le Parti Vert du Canada,Burton,Cate,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Liberal Party of Canada,Parti libéral du Canada,Destrempes,Pierre,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Conservative Party of Canada,Parti conservateur du Canada,Foucrault,Marianne,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Bloc Québécois,Bloc Québécois,Perron,Yves,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Liberal Party of Canada,Parti libéral du Canada,Ayoub,Ramez,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Green Party of Canada,Le Parti Vert du Canada,Carkner,Andrew,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,New Democratic Party,Nouveau Parti démocratique,Giguère,Alain,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Libertarian Party of Canada,Parti Libertarien du Canada,Guindon,Daniel,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Bloc Québécois,Bloc Québécois,Marginean,Alain,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Conservative Party of Canada,Parti conservateur du Canada,Puga,Manuel,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Bloc Québécois,Bloc Québécois,Barsalou-Duval,Xavier,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,New Democratic Party,Nouveau Parti démocratique,Fortin,Raphaël,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Liberal Party of Canada,Parti libéral du Canada,Gagnon,Lucie,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Green Party of Canada,Le Parti Vert du Canada,Lauzon,JiCi,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Conservative Party of Canada,Parti conservateur du Canada,Maheux,Clovis,,
24015,Bourassa,Bourassa,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Brunelle,Claude,,
24015,Bourassa,Bourassa,Green Party of Canada,Le Parti Vert du Canada,Charron,Maxime,,
24015,Bourassa,Bourassa,Independent,Indépendant,Demers,Julie,,
24015,Bourassa,Bourassa,Liberal Party of Canada,Parti libéral du Canada,Dubourg,Emmanuel,,
24015,Bourassa,Bourassa,New Democratic Party,Nouveau Parti démocratique,Laguerre,Dolmine,,
24015,Bourassa,Bourassa,Bloc Québécois,Bloc Québécois,Léveillé,Gilles,,
24015,Bourassa,Bourassa,Forces et Démocratie,Forces et Démocratie,Ndzana,Jean-Marie Floriant,,
24015,Bourassa,Bourassa,Conservative Party of Canada,Parti conservateur du Canada,Potasso-Justino,Jason,,
24016,Brome--Missisquoi,Brome--Missisquoi,New Democratic Party,Nouveau Parti démocratique,Lusson,Catherine,,
